Scan                   , Photon Energy, start run#, end run#, Sample             , Current (mA), Filter setting, Gain settting, MCP Voltage, MCP Polarization, Slope on, intercept on, jitter on, Slope off, intercept off, jitter off
X-direction Scan Fe #1 , 53eV         ,     900565,   900702, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.91kV    , 0               ,         ,             ,          ,          ,              ,     
X-direction Scan Fe #2 , 53eV         ,     900703,   900790, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.91kV    , 0               ,         ,             ,          ,          ,              ,     
X-direction Scan Fe #3 , 53eV         ,     900791,   900878, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.91kV    , 0               ,         ,             ,          ,          ,              ,     
X-direction Scan Fe #4 , 53eV         ,     900879,   900966, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.91kV    , 0               ,         ,             ,          ,          ,              ,     
X-direction Scan Fe #5 , 53eV         ,     900967,   901054, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.87kV    , 0               ,         ,             ,          ,          ,              ,     
Polarization Scan #1   , 53eV         ,     901055,   901145, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.87kV    , 0               ,         ,             ,          ,          ,              ,     
Polarization Scan #2   , 53eV         ,     901146,   901236, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.87kV    , 0               ,         ,             ,          ,          ,              ,     
Polarization Scan #3   , 53eV         ,     901237,   901327, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.87kV    , 0               ,         ,             ,          ,          ,              ,     
Polarization Scan #4   , 53eV         ,     901328,   901418, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.87kV    , 0               ,         ,             ,          ,          ,              ,     
Current measurement#1  , 53eV         ,     901419,   901419, FeCo/CuO/SiO2      , 80mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#2  , 53eV         ,     901421,   901421, FeCo/CuO/SiO2      , 80mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#3  , 53eV         ,     901422,   901422, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#4  , 53eV         ,     901423,   901423, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
